stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
1217963,30007963,"Amstelveen, A'veen Busstation",52.30233,4.857427,0,stoparea:235554,null,1,null,null
1928469,30007445,"Amstelveen, Amstelveen Stadshart",52.301242,4.867512,0,stoparea:344473,null,1,Uitstap,null
1760414,57243870,"Amstelveen, B.v.Suttnerlaan",52.277339,4.829079,0,stoparea:296450,null,1,null,CXX:57243870
1525228,57243880,"Amstelveen, B.v.Suttnerlaan",52.277809,4.827768,0,stoparea:296450,null,1,null,CXX:57243880
2218419,57243020,"Amstelveen, Bankrashof",52.301999,4.876095,0,stoparea:355903,null,0,null,CXX:57243020
2219607,57243030,"Amstelveen, Bankrashof",52.302313,4.875959,0,stoparea:355903,null,1,null,CXX:57243030
15365,30007532,"Amstelveen, Binnenhof",52.301269,4.863495,0,stoparea:2500,null,1,null,null
15364,30007533,"Amstelveen, Binnenhof",52.30151,4.863096,0,stoparea:2500,null,1,null,null
511025,57243060,"Amstelveen, Binnenhof",52.301341,4.863362,0,stoparea:121787,null,1,null,CXX:57243060
511052,57243070,"Amstelveen, Binnenhof",52.301466,4.863229,0,stoparea:121787,null,1,null,CXX:57243070
511184,57242010,"Amstelveen, Bovenkerkerweg",52.287368,4.842202,0,stoparea:121975,null,1,null,CXX:57242010
511216,57243110,"Amstelveen, Bovenkerkerweg",52.28836,4.842864,0,stoparea:121975,null,1,null,CXX:57243110
511259,57240090,"Amstelveen, Burg. Wiegelweg",52.275047,4.838573,0,null,null,1,null,CXX:57240090
1760358,57243840,"Amstelveen, Burg. Wiegelweg",52.274456,4.837173,0,null,null,1,null,CXX:57243840
419616,58342020,"Amstelveen, Burg. Wiegelweg",52.273821,4.837782,0,null,null,1,null,CXX:58342020
1927095,57240001,"Amstelveen, Busstation",52.302464,4.857177,0,stoparea:122950,null,1,A,CXX:57240001
1927088,57240024,"Amstelveen, Busstation perron A",52.302428,4.857162,0,stoparea:122950,null,1,A,CXX:57240024
2219426,57240022,"Amstelveen, Busstation perron B",52.302581,4.857249,0,stoparea:122950,null,1,B,CXX:57240022
1927084,57240023,"Amstelveen, Busstation perron B",52.302608,4.857263,0,stoparea:122950,null,1,B,CXX:57240023
2219427,57240027,"Amstelveen, Busstation perron B",52.302563,4.857249,0,stoparea:122950,null,1,B,CXX:57240027
2219425,57240028,"Amstelveen, Busstation perron B",52.302599,4.857263,0,stoparea:122950,null,1,B,CXX:57240028
1927087,57240025,"Amstelveen, Busstation perron C",52.302419,4.85728,0,stoparea:122950,null,1,C,CXX:57240025
2032053,57240010,"Amstelveen, Busstation perron D",52.302485,4.857939,0,stoparea:122950,null,1,D,CXX:57240010
1828273,57240019,"Amstelveen, Busstation perron E",52.30202,4.858443,0,stoparea:122950,null,1,E,CXX:57240019
1828350,57240610,"Amstelveen, Busstation perron F",52.302029,4.858413,0,stoparea:122950,null,1,F,CXX:57240610
1828321,57240600,"Amstelveen, Busstation perron G",52.301948,4.85837,0,stoparea:122950,null,1,G,CXX:57240600
1828272,57240018,"Amstelveen, Busstation perron H",52.301877,4.858635,0,stoparea:122950,null,1,H,CXX:57240018
511088,58342100,"Amstelveen, Christinahoeve",52.260936,4.830954,0,null,null,0,null,CXX:58342100
511215,58342110,"Amstelveen, Christinahoeve",52.260466,4.830359,0,null,null,0,null,CXX:58342110
1544009,30007512,"Amstelveen, De Eindhoeve",52.279899,4.846045,0,stoparea:300914,null,1,E2,null
